dt=0.010000 dtacc=0.020000 dtmag=0.100000 racc=0.100000 rmag=0.500000 qbg=0.000100
q0 q1 q2 q3 gbx gby gbz roll pitch yaw
0.000310 0.000832 -0.001728 0.000685 -0.004505 0.002610
0.000323 0.000765 -0.001778 0.000693 -0.004497 0.002610
0.000340 0.000731 -0.001745 0.000693 -0.004497 0.002610
0.000219 0.000762 -0.001786 0.000709 -0.004498 0.002610
0.000313 0.000759 -0.001782 0.000709 -0.004498 0.002610
0.000239 0.000748 -0.001767 0.000706 -0.004496 0.002610
0.000233 0.000774 -0.001803 0.000706 -0.004496 0.002610
0.000294 0.000797 -0.001802 0.000702 -0.004491 0.002610
0.000340 0.000916 -0.001826 0.000702 -0.004491 0.002610
0.000394 0.000928 -0.001066 0.000704 -0.004492 0.002260
0.000412 0.000894 -0.001097 0.000704 -0.004492 0.002260
0.000377 0.000899 -0.001223 0.000733 -0.004485 0.002260
0.000404 0.000964 -0.001249 0.000733 -0.004485 0.002260
0.000336 0.001022 -0.001272 0.000726 -0.004474 0.002260
0.000431 0.001114 -0.001271 0.000726 -0.004474 0.002260
0.000546 0.001119 -0.001246 0.000722 -0.004471 0.002260
0.000616 0.001093 -0.001279 0.000722 -0.004471 0.002260
0.000517 0.001072 -0.001396 0.000740 -0.004475 0.002260
0.000471 0.001159 -0.001412 0.000740 -0.004475 0.002260
0.000445 0.001145 -0.001011 0.000746 -0.004473 0.002069
0.000368 0.001147 -0.001091 0.000746 -0.004473 0.002069
0.000294 0.001064 -0.001148 0.000744 -0.004457 0.002069
0.000310 0.001059 -0.001182 0.000744 -0.004457 0.002069
0.000257 0.001045 -0.001245 0.000751 -0.004455 0.002069
0.000137 0.000999 -0.001266 0.000751 -0.004455 0.002069
0.000047 0.001008 -0.001306 0.000757 -0.004451 0.002069
0.000163 0.001093 -0.001357 0.000757 -0.004451 0.002069
0.000204 0.001081 -0.001305 0.000747 -0.004438 0.002069
0.000217 0.001131 -0.001351 0.000747 -0.004438 0.002069
0.000267 0.001106 -0.000710 0.000734 -0.004432 0.001768
0.000267 0.001022 -0.000746 0.000734 -0.004432 0.001768
0.000269 0.000994 -0.000781 0.000740 -0.004435 0.001768
0.000277 0.001010 -0.000814 0.000740 -0.004435 0.001768
0.000175 0.000979 -0.000849 0.000748 -0.004406 0.001768
0.000189 0.001004 -0.000825 0.000748 -0.004406 0.001768
0.000206 0.001025 -0.000818 0.000759 -0.004389 0.001768
0.000254 0.001043 -0.000755 0.000759 -0.004389 0.001768
0.000348 0.001042 -0.000791 0.000760 -0.004397 0.001768
0.000438 0.001057 -0.000769 0.000760 -0.004397 0.001768
0.000480 0.001101 -0.000509 0.000761 -0.004390 0.001657
0.000409 0.001068 -0.000481 0.000761 -0.004390 0.001657
0.000351 0.000939 -0.000500 0.000765 -0.004363 0.001657
0.000405 0.000999 -0.000531 0.000765 -0.004363 0.001657
0.000338 0.000996 -0.000556 0.000779 -0.004356 0.001657
0.000330 0.000903 -0.000454 0.000779 -0.004356 0.001657
0.000359 0.000933 -0.000404 0.000766 -0.004353 0.001657
0.000290 0.000939 -0.000438 0.000766 -0.004353 0.001657
0.000259 0.000946 -0.000456 0.000755 -0.004352 0.001657
0.000315 0.000900 -0.000488 0.000755 -0.004352 0.001657
0.000313 0.000911 -0.000197 0.000761 -0.004343 0.001527
0.000326 0.000977 -0.000176 0.000761 -0.004343 0.001527
0.000264 0.000959 -0.000237 0.000783 -0.004329 0.001527
0.000214 0.000926 -0.000292 0.000783 -0.004329 0.001527
0.000252 0.000972 -0.000261 0.000774 -0.004319 0.001527
0.000262 0.001007 -0.000254 0.000774 -0.004319 0.001527
0.000285 0.001061 -0.000300 0.000782 -0.004314 0.001527
0.000292 0.001054 -0.000280 0.000782 -0.004314 0.001527
0.000276 0.000988 -0.000318 0.000785 -0.004300 0.001527
0.000281 0.001035 -0.000312 0.000785 -0.004300 0.001527
0.000262 0.001016 -0.000069 0.000806 -0.004295 0.001431
0.000298 0.000943 -0.000074 0.000806 -0.004295 0.001431
0.000329 0.000968 0.000055 0.000783 -0.004290 0.001431
0.000211 0.001008 0.000048 0.000783 -0.004290 0.001431
0.000143 0.000966 0.000057 0.000778 -0.004273 0.001431
0.000172 0.000957 -0.000024 0.000778 -0.004273 0.001431
0.000095 0.000907 -0.000010 0.000795 -0.004265 0.001431
0.000108 0.000921 -0.000016 0.000795 -0.004265 0.001431
0.000151 0.000865 0.000008 0.000797 -0.004250 0.001431
0.000163 0.000856 -0.000042 0.000797 -0.004250 0.001431
0.000251 0.000887 0.000177 0.000778 -0.004255 0.001328
0.000202 0.000891 0.000116 0.000778 -0.004255 0.001328
0.000213 0.000868 0.000094 0.000778 -0.004244 0.001328
0.000233 0.000917 0.000117 0.000778 -0.004244 0.001328
0.000222 0.000950 0.000092 0.000781 -0.004231 0.001328
0.000215 0.000962 0.000164 0.000781 -0.004231 0.001328
0.000218 0.000925 0.000147 0.000783 -0.004220 0.001328
0.000233 0.001009 0.000200 0.000783 -0.004220 0.001328
0.000159 0.001019 0.000053 0.000771 -0.004213 0.001328
0.000171 0.001043 0.000010 0.000771 -0.004213 0.001328
0.000180 0.001079 0.000382 0.000777 -0.004214 0.001182
0.000123 0.001184 0.000460 0.000777 -0.004214 0.001182
0.000134 0.001218 0.000528 0.000784 -0.004213 0.001182
0.000084 0.001331 0.000569 0.000784 -0.004213 0.001182
0.000119 0.001360 0.000556 0.000794 -0.004191 0.001182
0.000179 0.001388 0.000502 0.000794 -0.004191 0.001182
0.000258 0.001330 0.000521 0.000784 -0.004189 0.001182
0.000351 0.001335 0.000520 0.000784 -0.004189 0.001182
0.000293 0.001372 0.000435 0.000785 -0.004178 0.001182
0.000258 0.001370 0.000402 0.000785 -0.004178 0.001182
0.000229 0.001452 0.000203 0.000791 -0.004172 0.001231
0.000267 0.001477 0.000172 0.000791 -0.004172 0.001231
0.000309 0.001482 0.000144 0.000789 -0.004152 0.001231
0.000369 0.001509 0.000168 0.000789 -0.004152 0.001231
0.000469 0.001483 0.000141 0.000789 -0.004146 0.001231
0.000496 0.001525 0.000184 0.000789 -0.004146 0.001231
0.000492 0.001566 0.000122 0.000791 -0.004137 0.001231
0.000524 0.001548 0.000117 0.000791 -0.004137 0.001231
0.000483 0.001498 0.000092 0.000801 -0.004127 0.001231
0.000497 0.001536 0.000080 0.000801 -0.004127 0.001231
0.000394 0.001596 0.000561 0.000799 -0.004126 0.001064
0.000310 0.001658 0.000500 0.000799 -0.004126 0.001064
0.000290 0.001622 0.000481 0.000790 -0.004117 0.001064
0.000329 0.001655 0.000504 0.000790 -0.004117 0.001064
0.000268 0.001654 0.000439 0.000798 -0.004111 0.001064
0.000236 0.001752 0.000457 0.000798 -0.004111 0.001064
0.000329 0.001773 0.000447 0.000783 -0.004096 0.001064
0.000425 0.001835 0.000423 0.000783 -0.004096 0.001064
0.000323 0.001826 0.000435 0.000789 -0.004080 0.001064
0.000318 0.001827 0.000468 0.000789 -0.004080 0.001064
0.000382 0.001830 0.000919 0.000796 -0.004079 0.000888
0.000386 0.001770 0.000851 0.000796 -0.004079 0.000888
0.000303 0.001745 0.000843 0.000799 -0.004060 0.000888
0.000350 0.001736 0.000876 0.000799 -0.004060 0.000888
0.000398 0.001666 0.000816 0.000793 -0.004049 0.000888
