dt=0.010000 dtgps=0.100000 dtbaro=0.100000 kp_baro=0.000000 kp_gps=0.000000 ki=0.010000
dt=0.000000 dtgps=0.000000 dtbaro=0.010000 kp_baro=0.010000 kp_gps=0.010000 ki=0.000000
dt=0.010000 dtgps=0.010000 dtbaro=0.000000 kp_baro=0.001000 kp_gps=0.001000 ki=0.001000
dt=0.001000 dtgps=0.001000 dtbaro=0.001000 kp_baro=px py pz vx vy vz
1.107994 0.218509 -74.034557 0.763172 0.004838 -41.276765
1.115639 0.218563 -74.448301 0.764565 0.005379 -41.374442
1.123297 0.218621 -74.863025 0.765775 0.005879 -41.472326
1.128606 0.222692 -75.279916 0.530893 0.407100 -41.689150
1.133928 0.226763 -75.697786 0.532157 0.407094 -41.786988
1.139261 0.230836 -76.116634 0.533325 0.407226 -41.884828
1.144606 0.234910 -76.536460 0.534470 0.407424 -41.982570
1.149963 0.238987 -76.957263 0.535792 0.407746 -42.080277
1.155334 0.243069 -77.379044 0.537030 0.408190 -42.178134
1.160716 0.247155 -77.801804 0.538272 0.408539 -42.276042
1.166111 0.251243 -78.225544 0.539444 0.408819 -42.373905
1.171518 0.255332 -78.650259 0.540660 0.408953 -42.471596
1.176937 0.259422 -79.075954 0.541956 0.408993 -42.569409
1.179849 0.259326 -79.503555 0.291143 -0.009579 -42.760190
1.182772 0.259233 -79.932134 0.292325 -0.009324 -42.857855
1.185707 0.259142 -80.361690 0.293537 -0.009066 -42.955642
1.188654 0.259055 -80.792227 0.294707 -0.008781 -43.053676
1.191611 0.258971 -81.223742 0.295702 -0.008397 -43.151495
1.194580 0.258890 -81.656235 0.296895 -0.008112 -43.249258
1.197562 0.258810 -82.089706 0.298208 -0.007974 -43.347141
1.200557 0.258731 -82.524155 0.299442 -0.007869 -43.444855
1.203564 0.258654 -82.959581 0.300753 -0.007665 -43.542590
1.206584 0.258581 -83.395986 0.302000 -0.007334 -43.640497
1.214567 0.257742 -83.834225 0.798272 -0.083945 -43.823972
